"","species","decimalLatitude","decimalLongitude"
"439","Eurycea guttolineata",31.957534,-89.657455
"440","Eurycea cirrigera",37.846295,-82.725205
"441","Eurycea wilderae",35.657555,-83.57892
"442","Eurycea cirrigera",39.312975,-84.85943
"443","Eurycea longicauda",36.163335,-94.433955
"444","Eurycea lucifuga",36.163326,-94.433908
"445","Eurycea bislineata",42.507013,-76.425803
"446","Eurycea longicauda",36.161628,-94.433656
"447","Eurycea cirrigera",36.128693,-80.284012
"448","Eurycea guttolineata",34.310068,-89.468522
"449","Eurycea cirrigera",33.908476,-84.452884
"450","Eurycea bislineata",41.498069,-80.454718
"451","Eurycea lucifuga",35.97756,-87.002307
"452","Eurycea cirrigera",39.622175,-84.117303
"453","Eurycea cirrigera",39.622155,-84.117325
"454","Eurycea bislineata",39.942368,-75.597865
"455","Eurycea bislineata",39.94232,-75.597902
"456","Eurycea cirrigera",37.905495,-84.362908
"457","Eurycea longicauda",36.163308,-94.433937
"458","Eurycea cirrigera",33.463083,-83.733245
"459","Eurycea cirrigera",36.099772,-86.862162
"460","Eurycea wilderae",35.635793,-83.438476
"461","Eurycea wilderae",35.689208,-83.538724
"462","Eurycea lucifuga",35.120997,-85.593879
"463","Eurycea lucifuga",35.964173,-92.179328
"464","Eurycea longicauda",37.04721,-94.627875
"465","Eurycea longicauda",37.04721,-94.628127
"466","Eurycea lucifuga",34.664795,-85.362725
"467","Eurycea cirrigera",39.50021,-84.725328
"468","Eurycea wilderae",35.690245,-83.394945
"469","Eurycea bislineata",38.629017,-79.7704
"470","Eurycea wilderae",35.088931,-85.407041
"471","Eurycea lucifuga",34.834125,-86.42675
"472","Eurycea lucifuga",37.18726,-86.108739
"473","Eurycea lucifuga",35.666351,-85.683754
"474","Eurycea cirrigera",34.07725,-81.739974
"475","Eurycea cirrigera",33.901337,-83.377971
"476","Eurycea paludicola",32.506917,-92.170316
"477","Eurycea tynerensis",35.241183,-92.285255
"478","Eurycea cirrigera",37.665653,-76.717758
"479","Eurycea cirrigera",36.086591,-87.126076
"480","Eurycea cirrigera",39.345644,-82.062114
"481","Eurycea wilderae",34.739438,-84.140756
"482",NA,33.718601,-84.479109
"483","Eurycea cirrigera",37.664588,-76.720416
"484","Eurycea lucifuga",35.568237,-87.259064
"485","Eurycea bislineata",42.152161,-74.134528
"486","Eurycea bislineata",42.328392,-76.337853
"487","Eurycea bislineata",40.198133,-80.023867
"488","Eurycea bislineata",40.198007,-80.023851
"489","Eurycea bislineata",40.198013,-80.023971
"490","Eurycea cirrigera",38.285245,-77.49762
"491","Eurycea cirrigera",37.664928,-76.718124
"492","Eurycea bislineata",45.259695,-75.712455
"493","Eurycea wilderae",35.321825,-83.683186
"494","Eurycea bislineata",40.020783,-75.706182
"495","Eurycea cirrigera",36.493756,-86.284186
"496","Eurycea cirrigera",36.490944,-86.282678
"497","Eurycea cirrigera",36.490264,-86.282469
"498","Eurycea lucifuga",36.490272,-86.282478
"499","Eurycea cirrigera",36.491211,-86.284011
"500","Eurycea cirrigera",36.48915,-86.286111
"501","Eurycea lucifuga",36.485008,-86.289453
